"name","global_sales_m","na_sales_m","eu_sales_m","jp_sales_m","other_sales_m","meta_critic_score","meta_user_score","platform","plf_con","plf_pc","publisher","developer","num_g_pub","game_genre","gen_action","gen_adventure","gen_racing","gen_roleplaying","gen_simulation","gen_sports","gen_strategy","gen_mmo","gen_misc","franchise","originalcost_$","meta_release_date","singleplayer","multiplayer","coop","controller","meta_esrb","esrb_everyone","esrb_teens","esrb_adults","esrb_pending","indie","soundtrack","presence","languages","num_languages","platform_release_date","platform_release_year","release_diff_days"
"The Crew",1.79,0.44,1.04,0.03,0.27,61,53,"PlayStation 4",1,0,"Ubisoft  ","Ubisoft Reflections  ",802,"Racing",0,0,1,0,0,0,0,0,0,0,NA,2014-12-02,1,1,1,1,"T",0,1,0,0,0,0,1000897,"English, French, Italian, German, Czech, Danish, Dutch, Finnish, Japanese, Norwegian, Polish, Russian, Swedish",13,2013-11-15,2013,382
"DOOM VFR",0.56,0.22,0.25,NA,0.09,71,67,"PlayStation 4",1,0,"Bethesda Softworks  ","id Software  ",82,"Shooter",1,0,0,0,0,0,0,0,0,0,29.99,2017-12-01,1,0,0,1,"M",0,0,1,0,0,0,91235,"English, French, Italian, German, Japanese, Polish, Russian",7,2013-11-15,2013,1477
"DOOM VFR",0,NA,0,NA,0,69,52,"PC",0,1,"Bethesda Softworks  ","id Software  ",82,"Shooter",1,0,0,0,0,0,0,0,0,0,29.99,2017-11-30,1,0,0,1,"M",0,0,1,0,0,0,91235,"English, French, Italian, German, Japanese, Polish, Russian",7,1962-01-01,1962,20422
"Castlevania: Lords of Shadow 2",0.04,0.01,0.03,NA,0,58,77,"PC",0,1,"Konami Digital Entertainment  ","Mercury Steam  ",59,"Action-Adventure",1,0,0,0,0,0,0,0,0,0,NA,2014-02-25,1,0,0,1,"M",0,0,1,0,0,0,985087,"English, French, Italian, German",4,1962-01-01,1962,19048
"Castlevania: Lords of Shadow 2",0.2,0.03,0.13,0.02,0.03,63,78,"PlayStation 3",1,0,"Konami Digital Entertainment  ","Mercury Steam  ",59,"Action-Adventure",1,0,0,0,0,0,0,0,0,0,NA,2014-02-25,1,0,0,1,"M",0,0,1,0,0,0,985087,"English, French, Italian, German",4,2006-11-11,2006,2663
"Sid Meier's Civilization IV",0.16,0.02,0.12,NA,0.02,94,83,"PC",0,1,"2K Games  ","Firaxis Games  ",97,"Strategy",0,0,0,0,0,0,1,0,0,1,19.99,2005-10-25,1,1,0,0,"E10+",1,0,0,0,0,0,718788,"English, French, German, Italian",4,1962-01-01,1962,16003
"NBA 2K19",1.74,1.47,0.08,NA,0.18,83,27,"Xbox One",1,0,"2K Sports  ","Visual Concepts  ",57,"Sports",0,0,0,0,0,1,0,0,0,1,59.99,2018-09-07,1,1,1,1,"E",1,0,0,0,0,0,906776,"English, French, Italian, German, Japanese, Korean",6,2013-11-22,2013,1750
"NBA 2K19",2.63,1.69,0.44,0.03,0.47,82,25,"PlayStation 4",1,0,"2K Sports  ","Visual Concepts  ",57,"Sports",0,0,0,0,0,1,0,0,0,1,59.99,2018-09-07,1,1,1,1,"E",1,0,0,0,0,0,906776,"English, French, Italian, German, Japanese, Korean",6,2013-11-15,2013,1757
"Lost Planet 2",0.03,NA,0.02,NA,0,63,63,"PC",0,1,"Capcom  ","Capcom  ",549,"Shooter",1,0,0,0,0,0,0,0,0,0,19.99,2010-10-15,1,1,1,1,"T",0,1,0,0,0,0,1000801,"English, French, German, Italian, Japanese, Korean, Polish, Russian",8,1962-01-01,1962,17819
"Lost Planet 2",0.95,0.29,0.34,0.2,0.12,68,69,"PlayStation 3",1,0,"Capcom  ","Capcom  ",549,"Shooter",1,0,0,0,0,0,0,0,0,0,19.99,2010-05-11,1,1,1,1,"T",0,1,0,0,0,0,1000801,"English, French, German, Italian, Japanese, Korean, Polish, Russian",8,2006-11-11,2006,1277
